rating,review_title,review_description,date,location,up_votes,down_votes
4,Worth the money,Sound full of Bass....good at this price point.,"Jun, 2020",", Solapur District",0,0
4,Nice product,Call quality was fine for me.,"Jun, 2020",", Gautam Buddha Nagar",0,0
5,Must buy!,Battery consumption will check n edit the review with details.,"Jun, 2020",", Nebadhai Duttapukur",0,0
5,Awesome,"Very nice product.. Really loved it.. I recommend all to try this once.. I am sure you all will love it. Nice sound quality, nice and deep base. Owsome😍😍😍","May, 2020",", Varanasi",0,0
4,Wonderful,Everything in this headset is good but who buy this product for good bass will be disappointed for a neutral good sound and frequency u can buy this..... The build is good but the ear buds are made up of plastic so i this that dont have a long life it will be known on using ...... 1 year warranty is given so no problem at all.... Best budget earphones for music lovers,"May, 2020",", Madhurawada",0,0
5,Classy product,"It has good bass and it's very comfortable for ear.., design is fabulous.., and in very low price uh get best product..!","May, 2020",", Aurangabad",0,0
5,Fabulous!,"Awesome. Don't think much more. Just go for it. Awesome product. Nice built in quality. Clear bit. Nice bass...... Trust me, in this price you will not get such a good product. So, Buy it....","May, 2020",", Jalgaon",0,0
5,Just wow!,It fits perfectly in my ear. Best in this budget. Sound quality is very good. Crystal clear sound with balance Bass. Go for it.💪🏼,"May, 2020",", Kolkata",0,0
4,Nice product,I have ordered this to my gf ,"May, 2020",", Uran Islampur",0,0
5,Terrific,And she loved it ,"May, 2020",", New Delhi",0,0
5,Simply awesome,She is so happy ,"May, 2020",", Bodh Gaya",0,0
5,Brilliant,It's a best gift for leadies don't think twice before you buy this ,"May, 2020",", Tirupathur Vellore District",0,0
5,Simply awesome,And the specially pink colour ,"May, 2020",", Dibrugarh",0,0
4,Very Good,Nice quality in its price. Sound quality is good but bass is not up to the mark .But still it is recommended to buy.,"Jun, 2020",", Habra",0,0
5,Worth every penny,"Nice bass , good sound quality that is why I always prefer boat. last time it was also fantastic,","Jun, 2020",", Bangalore",0,0
5,Highly recommended,"Over all it was good, thank you","Jun, 2020",", Wayanad District",0,0
5,Great product,It's an one of the best product from boAt  it is valuable ,"Jun, 2020",", Kolkata",0,0
5,Perfect product!,For this rate below 400/- i am impressed i prefer to you to buy,"Jun, 2020",", S Nallur",0,0
